Date,NCC,StrokePrim,StrokeCon,GenNeuro,Epilepsy,
2021-02-16 22:24,19,14,1,11,0,
2021-02-17 08:58,17,14,1,12,0,
2021-02-17 14:30,17,14,1,11,0,
2021-02-17 19:20,18,15,2,9,0,
2021-02-18 02:30,16,15,5,12,0,
2021-02-18 07:20,16,15,5,12,0,
2021-02-18 14:30,18,15,5,12,0,
2021-02-18 19:20,17,12,3,9,0,
2021-02-19 02:30,18,12,3,9,0,
2021-02-19 07:20,16,13,3,9,0,
2021-02-19 14:30,18,13,3,8,0,
2021-02-19 19:20,16,11,3,7,0,
2021-02-20 02:30,15,14,3,7,0,
2021-02-20 07:20,17,11,5,10,0,
2021-02-20 14:30,17,11,7,10,0,
2021-02-20 19:20,15,11,7,10,0,
2021-02-21 02:30,14,11,8,10,0,
2021-02-21 07:20,14,11,8,10,0,
2021-02-21 14:30,13,12,7,11,0,
2021-02-21 19:20,13,12,7,13,0,
2021-02-22 02:30,13,12,7,13,0,
2021-02-22 07:20,14,13,7,15,0,
2021-02-22 14:30,14,13,8,14,1,
2021-02-22 19:20,16,14,7,13,1,
2021-02-23 02:30,15,14,8,15,1,
2021-02-23 07:20,14,14,8,15,1,
2021-02-23 14:30,14,14,9,9,1,
2021-02-23 19:20,16,11,10,12,1,
2021-02-24 02:30,14,13,11,13,1,
2021-02-24 07:20,15,14,12,17,1,
2021-02-24 14:30,15,14,8,16,1,
2021-02-24 19:20,14,12,7,13,1,
2021-02-25 02:30,13,13,7,14,1,
2021-02-25 07:20,12,14,10,16,1,
2021-02-25 14:30,12,14,9,11,1,
2021-02-25 19:20,11,14,6,12,1,
2021-02-26 02:30,12,12,5,11,1,
2021-02-26 07:20,12,12,5,16,1,
2021-02-26 14:30,12,12,7,16,1,
2021-02-26 19:20,10,12,15,11,0,
2021-02-27 02:30,13,12,9,13,0,
2021-02-27 07:20,12,12,7,14,0,
2021-02-27 14:30,12,12,7,13,0,
2021-02-27 19:20,13,10,7,15,0,
2021-02-28 02:30,12,11,7,14,0,
2021-02-28 07:20,13,11,9,16,0,
2021-02-28 14:30,13,11,11,19,0,
2021-02-28 19:20,12,11,8,21,0,
2021-03-01 02:30,12,11,9,22,0,
2021-03-01 07:20,12,11,9,22,0,
2021-03-01 14:30,14,11,9,16,2,
2021-03-01 19:20,13,10,9,16,2,
2021-03-02 02:30,14,9,9,18,2,
2021-03-02 07:20,16,9,9,20,2,
2021-03-02 14:30,16,10,8,17,2,
2021-03-02 19:20,15,10,6,16,2,
2021-03-03 02:30,16,10,6,15,2,
2021-03-03 07:20,16,11,7,14,2,
2021-03-03 14:30,17,12,8,7,2,
2021-03-03 19:20,19,11,9,6,2,
2021-03-04 02:30,20,9,10,8,2,
2021-03-04 07:20,19,9,9,12,2,
2021-03-04 14:30,17,9,10,11,2,
2021-03-04 19:20,16,9,9,13,2,
2021-03-05 02:30,15,10,10,12,2,
2021-03-05 07:20,16,9,11,14,2,
2021-03-05 14:30,14,7,9,6,2,
2021-03-05 19:20,13,7,6,7,1,
2021-03-06 02:30,13,7,5,9,1,
2021-03-06 07:20,14,6,7,11,0,
2021-03-06 14:30,14,5,9,9,0,
2021-03-06 19:20,13,7,10,12,0,
2021-03-07 02:30,13,7,14,14,0,
2021-03-07 07:20,13,6,12,17,0,
2021-03-07 14:30,13,6,11,15,0,
2021-03-07 19:20,14,6,10,13,0,
2021-03-08 02:30,12,8,10,12,0,
2021-03-08 07:20,12,8,10,12,0,
2021-03-08 14:30,12,8,8,15,3,
2021-03-08 19:20,13,8,8,15,3,
2021-03-09 02:30,14,7,8,16,3,
2021-03-09 07:20,14,7,8,16,3,
2021-03-09 14:30,13,7,11,17,3,
2021-03-09 19:20,14,6,6,17,3,
2021-03-10 02:30,13,6,7,17,3,
2021-03-10 07:20,13,6,8,18,2,
2021-03-10 14:30,17,6,7,21,2,
2021-03-10 19:20,17,6,9,21,2,
2021-03-11 02:30,15,7,9,24,2,
2021-03-11 07:20,15,7,10,24,2,
2021-03-11 14:30,13,8,8,23,2,
2021-03-11 19:20,13,9,9,26,2,
2021-03-12 02:30,12,10,9,26,2,
2021-03-12 07:20,12,10,10,26,2,
2021-03-12 14:30,12,10,11,22,2,
2021-03-12 19:20,12,9,5,24,2,
2021-03-13 02:30,11,9,6,21,2,
2021-03-13 07:20,10,10,5,23,2,
2021-03-13 14:30,10,9,6,26,2,
2021-03-13 19:20,10,9,7,28,2,
2021-03-14 07:20,10,9,7,26,2,
2021-03-14 14:30,10,9,7,26,0,
2021-03-14 19:20,12,9,7,29,0,
2021-03-15 02:30,11,9,7,28,0,
2021-03-15 07:20,11,9,8,28,0,
2021-03-15 14:30,11,9,7,25,0,
2021-03-15 19:20,12,11,6,24,1,
2021-03-16 02:30,12,11,8,26,1,
2021-03-16 07:20,11,11,8,28,1,
2021-03-16 14:30,13,12,5,26,1,
2021-03-16 19:20,14,12,5,21,1,
2021-03-17 02:30,13,12,6,21,1,
2021-03-17 07:20,13,12,9,22,1,
2021-03-17 14:30,11,13,9,24,1,
